"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"Zm00001eb050930",0.2131924,1,"No","0.2131924"
"Zm00001eb380260",0.2134009,1,"No","0.2134009"
"Zm00001eb352550",0.2134541,1,"No","0.2134541"
"Zm00001eb391010",0.2134718,1,"No","0.2134718"
"Zm00001eb170650",0.213635201926295,31,"Yes","0.1635073,0.3792349,0.1165859,0.5402708,0.5561301,0.167732,0.1697947,0.5848513,0.6439181,0.5274821,0.848126,0.484473,0.815253,0.1149059,0.8930202,0.6521214,0.2963254,0.231495,0.5374615,0.567221,0.1673893,0.1440358,0.09485894,0.1831834,0.5179121,0.1741726,0.01130497,0.7724785,0.4213764,0.7762281,0.8832547"
"Zm00001eb004540",0.213757539759179,4,"Yes","0.06325227,0.3080141,0.2047809,0.266255"
"Zm00001eb157730",0.213886734705261,8,"Yes","0.2408043,0.9801339,0.03024116,0.08499404,0.6511742,0.8556152,0.1264934,0.572799"
"Zm00001eb310520",0.21410263580676,7,"Yes","0.07320845,0.1088906,0.1318913,0.1452502,0.1434106,0.6374081,0.7572779"
"Zm00001eb042060",0.214323769031266,2,"Yes","0.1581103,0.1695169"
"Zm00001eb217490",0.2146052,1,"No","0.2146052"
"Zm00001eb217500",0.2146052,1,"No","0.2146052"
"Zm00001eb146240",0.214618217433828,6,"Yes","0.1341107,0.7571518,0.1951969,0.1579821,0.2233995,0.5573844"
"Zm00001eb265760",0.215150376870965,2,"Yes","0.5050794,0.1150375"
"Zm00001eb122030",0.215326727691892,5,"Yes","0.5000553,0.6754874,0.09739081,0.03728469,0.8333089"
"Zm00001eb102850",0.215345109186392,3,"Yes","0.1473233,0.2194284,0.1934204"
"Zm00001eb301110",0.2170847,1,"No","0.2170847"
"Zm00001eb365390",0.217481532375113,4,"Yes","0.1575045,0.7363497,0.3697738,0.1397613"
"Zm00001eb396780",0.2177579,1,"No","0.2177579"
"Zm00001eb396790",0.2177579,1,"No","0.2177579"
"Zm00001eb361800",0.217767373177793,6,"Yes","0.2764259,0.01961735,0.3074913,0.3378889,0.9427943,0.9030065"
"Zm00001eb348550",0.2182852,1,"No","0.2182852"
"Zm00001eb214880",0.218316443665973,4,"Yes","0.07239323,0.5071737,0.3831021,0.1604766"
"Zm00001eb229700",0.218487399294874,3,"Yes","0.6601496,0.6385986,0.04772499"
"Zm00001eb104960",0.218860202537557,2,"Yes","0.2426806,0.1167682"
"Zm00001eb427880",0.219328816075874,2,"Yes","0.1775236,0.1696039"
"Zm00001eb105360",0.219672427897493,3,"Yes","0.9734169,0.2305662,0.1828393"
"Zm00001eb174950",0.2198138,1,"No","0.2198138"
"Zm00001eb425920",0.2202214,1,"No","0.2202214"
"Zm00001eb374540",0.2211296,1,"No","0.2211296"
"Zm00001eb374550",0.2211296,1,"No","0.2211296"
"Zm00001eb307860",0.2211731,1,"No","0.2211731"
"Zm00001eb226820",0.2212341,1,"No","0.2212341"
"Zm00001eb105690",0.2214966,1,"No","0.2214966"
"Zm00001eb318290",0.2215474,1,"No","0.2215474"
"Zm00001eb269430",0.2217134,1,"No","0.2217134"
"Zm00001eb104350",0.22200858186906,6,"Yes","0.5537019,0.02016945,0.2941914,0.9800128,0.335559,0.5722885"
"Zm00001eb204230",0.2222336,1,"No","0.2222336"
"Zm00001eb169120",0.22311747149128,4,"Yes","0.1460543,0.5192189,0.1591581,0.1357794"
"Zm00001eb106410",0.2231352,1,"No","0.2231352"
"Zm00001eb186610",0.223169610916039,2,"Yes","0.1644791,0.2492593"
"Zm00001eb128990",0.223594582702189,4,"Yes","0.1477066,0.1633408,0.6763616,0.4571861"
"Zm00001eb284360",0.224225252916083,2,"Yes","0.1193237,0.7325103"
"Zm00001eb373300",0.22500366844315,4,"Yes","0.5804278,0.7917181,0.03860596,0.9333472"
"Zm00001eb007310",0.225422916669979,9,"Yes","0.6515872,0.7138608,0.272867,0.4475393,0.04673575,0.2196412,0.0290002,0.2861489,0.3504311"
"Zm00001eb053010",0.225614868132093,7,"Yes","0.6633925,0.3583327,0.3079401,0.167721,0.167721,0.167721,0.167721"
"Zm00001eb282900",0.22571664527544,2,"Yes","0.1643172,0.1284041"
"Zm00001eb212020",0.226033025242698,4,"Yes","0.03832274,0.528077,0.3377774,0.3091418"
"Zm00001eb045230",0.226425657747532,4,"Yes","0.04457667,0.8137512,0.8175434,0.3176711"
"Zm00001eb045240",0.226425657747532,4,"Yes","0.04457667,0.8137512,0.8175434,0.3176711"
"Zm00001eb057360",0.226698006166713,3,"Yes","0.3864797,0.9623858,0.04822805"
"Zm00001eb104880",0.226916358855574,2,"Yes","0.120807,0.500963"
"Zm00001eb248110",0.227077363181252,3,"Yes","0.2383711,0.5648062,0.08551998"
"Zm00001eb147890",0.227398331585771,5,"Yes","0.2035055,0.2122058,0.1871564,0.9906714,0.9906714"
"Zm00001eb408730",0.227574775506128,2,"Yes","0.6342373,0.121138"
"Zm00001eb222690",0.2278286,1,"No","0.2278286"
"Zm00001eb315030",0.227902021105595,5,"Yes","0.03897174,0.09524636,0.3008183,0.614382,0.3193107"
"Zm00001eb377330",0.228262050172941,4,"Yes","0.7239634,0.1582688,0.05740948,0.3688214"
"Zm00001eb023330",0.228364960354116,2,"Yes","0.6941058,0.123163"
"Zm00001eb151690",0.228623938660076,2,"Yes","0.1272243,0.1217794"
"Zm00001eb119580",0.229419626733756,3,"Yes","0.986793,0.6114576,0.0490205"
"Zm00001eb205190",0.2296976,1,"No","0.2296976"
"Zm00001eb394610",0.229701298825439,4,"Yes","0.7310751,0.0482999,0.8715194,0.8243072"
"Zm00001eb211100",0.2303009,1,"No","0.2303009"
"Zm00001eb264130",0.2307908,1,"No","0.2307908"
"Zm00001eb406530",0.231049185036265,7,"Yes","0.8261147,0.572949,0.3146896,0.2607238,0.06765395,0.7658595,0.05665713"
"Zm00001eb254410",0.231117037701424,14,"Yes","0.02320819,0.08593941,0.1368791,0.5138115,0.2191454,0.06376206,0.731737,0.482608,0.09869626,0.5527636,0.8962259,0.7499915,0.9256434,0.8604066"
"Zm00001eb386370",0.2311572,1,"No","0.2311572"
"Zm00001eb002830",0.232489201495976,2,"Yes","0.7843193,0.1240526"
"Zm00001eb249790",0.2325917,1,"No","0.2325917"
"Zm00001eb212510",0.232627856377194,7,"Yes","0.3182905,0.2246003,0.06815415,0.03240053,0.5930447,0.2494281,0.3170986"
"Zm00001eb405880",0.233157152638653,45,"Yes","0.3788775,0.7836062,0.6197204,0.9691375,0.582655,0.477263,0.1132257,0.4003352,0.03674484,0.206085,0.3265605,0.1536104,0.2177707,0.9291684,0.004266207,0.06327104,0.560527,0.01107749,0.8063882,0.3412144,0.3620374,0.3965566,0.2847154,0.583463,0.6833117,0.6415352,0.2572863,0.7558278,0.9326547,0.4364348,0.1430776,0.6668899,0.8704563,0.2068665,0.1498034,0.1468821,0.6777313,0.3212022,0.1085124,0.5450377,0.2387123,0.1923188,0.5189817,0.2939462,0.3191942"
"Zm00001eb318170",0.233467,1,"No","0.233467"
"Zm00001eb107350",0.2338205,1,"No","0.2338205"
"Zm00001eb243260",0.2338585,1,"No","0.2338585"
"Zm00001eb215950",0.234469382664043,3,"Yes","0.2824281,0.1441839,0.234104"
"Zm00001eb140660",0.2352567,1,"No","0.2352567"
"Zm00001eb160390",0.2356071,1,"No","0.2356071"
"Zm00001eb034180",0.235984800376579,2,"Yes","0.1447692,0.5333644"
"Zm00001eb393130",0.2364891,1,"No","0.2364891"
"Zm00001eb400290",0.236704235963026,12,"Yes","0.9226249,0.6936379,0.1820871,0.8449982,0.9826269,0.6342947,0.7441448,0.262611,0.2444558,0.1260958,0.03843478,0.1184994"
"Zm00001eb075460",0.2367711,1,"No","0.2367711"
"Zm00001eb398280",0.236786536608158,10,"Yes","0.04446329,0.0447928,0.952642,0.8831284,0.8831284,0.6799806,0.7685139,0.6799806,0.5506134,0.1479022"
"Zm00001eb361850",0.236839221941955,2,"Yes","0.1264383,0.5089656"
"Zm00001eb066650",0.237495197568849,2,"Yes","0.5470939,0.1272351"
"Zm00001eb349620",0.2386965,1,"No","0.2386965"
"Zm00001eb366020",0.238867223742571,2,"Yes","0.4580891,0.1275759"
"Zm00001eb322130",0.2389298,1,"No","0.2389298"
"Zm00001eb352620",0.2391481,1,"No","0.2391481"
"Zm00001eb059400",0.239705412133623,6,"Yes","0.454075,0.6525746,0.1392027,0.8791054,0.865515,0.02203213"
"Zm00001eb007820",0.239813795954066,6,"Yes","0.0560557,0.08912146,0.694178,0.5132653,0.3087733,0.2870596"
"Zm00001eb043760",0.2400829,1,"No","0.2400829"
"Zm00001eb115490",0.240629124609991,7,"Yes","0.5684813,0.4472813,0.4473853,0.8887509,0.9086144,0.8584914,0.01931653"
"Zm00001eb035630",0.2406954,1,"No","0.2406954"
"Zm00001eb178710",0.240749412739227,3,"Yes","0.4729683,0.05179325,0.7661258"
"Zm00001eb253020",0.241073674194788,9,"Yes","0.6444517,0.03024529,0.2174065,0.165075,0.1468224,0.1983072,0.9921304,0.523961,0.3093884"
"Zm00001eb001870",0.2413681,1,"No","0.2413681"
"Zm00001eb412830",0.2421704,1,"No","0.2421704"
"Zm00001eb367170",0.242251948745734,3,"Yes","0.2061037,0.1085718,0.3374662"
"Zm00001eb400580",0.242609447950307,2,"Yes","0.1303891,0.493283"
"Zm00001eb192690",0.242812332233353,3,"Yes","0.0529942,0.3821599,0.957499"
"Zm00001eb076910",0.2429823,1,"No","0.2429823"
"Zm00001eb149120",0.243027867630845,2,"Yes","0.7765546,0.1761993"
"Zm00001eb114560",0.243324260633738,2,"Yes","0.1317775,0.6550026"
"Zm00001eb115650",0.2436089,1,"No","0.2436089"
"Zm00001eb389650",0.243727595567673,5,"Yes","0.2575184,0.2713399,0.1217372,0.06566083,0.5038983"
"Zm00001eb364310",0.243790996399826,8,"Yes","0.8998845,0.8912219,0.5089867,0.4527449,0.9367743,0.03627174,0.5552641,0.06344727"
"Zm00001eb007600",0.243883034332182,6,"Yes","0.6754038,0.1912717,0.8825252,0.8443919,0.1666835,0.06174189"
"Zm00001eb181980",0.2445763,1,"No","0.2445763"
"Zm00001eb397990",0.245674,1,"No","0.245674"
"Zm00001eb216580",0.245848474647395,3,"Yes","0.2142814,0.207405,0.177877"
"Zm00001eb144080",0.2461407,1,"No","0.2461407"
"Zm00001eb250810",0.246600251383123,11,"Yes","0.1442895,0.1758435,0.289611,0.3681373,0.01933006,0.25728,0.4377377,0.8372048,0.9767372,0.1879613,0.337611"
"Zm00001eb096680",0.246692263508611,2,"Yes","0.1322446,0.4121689"
"Zm00001eb264500",0.247061201602469,3,"Yes","0.06880273,0.8832128,0.52499"
"Zm00001eb298660",0.247344565112492,2,"Yes","0.1601328,0.1327128"
"Zm00001eb399570",0.247999688632532,2,"Yes","0.3500747,0.1364678"
"Zm00001eb075360",0.2480959,1,"No","0.2480959"
"Zm00001eb212640",0.248786097921628,2,"Yes","0.1651758,0.1482865"
"Zm00001eb122470",0.249784407900462,2,"Yes","0.139986,0.2493845"
"Zm00001eb425870",0.249956225413217,3,"Yes","0.2507578,0.07404062,0.6704536"
"Zm00001eb034980",0.2501321,1,"No","0.2501321"
"Zm00001eb398180",0.250705058450892,2,"Yes","0.1344063,0.9020959"
"Zm00001eb302700",0.2507569,1,"No","0.2507569"
"Zm00001eb227810",0.2511021,1,"No","0.2511021"
"Zm00001eb242390",0.251286248845752,2,"Yes","0.772829,0.142192"
"Zm00001eb398340",0.251607673476652,4,"Yes","0.2839983,0.0473494,0.8362237,0.9016671"
"Zm00001eb081870",0.2517313,1,"No","0.2517313"
"Zm00001eb246860",0.2525198,1,"No","0.2525198"
"Zm00001eb054600",0.252907250512431,2,"Yes","0.1425919,0.7753907"
"Zm00001eb417030",0.2531335,1,"No","0.2531335"
"Zm00001eb417040",0.2531335,1,"No","0.2531335"
"Zm00001eb359400",0.2536757,1,"No","0.2536757"
"Zm00001eb006190",0.254345,1,"No","0.254345"
"Zm00001eb319330",0.254499680349396,2,"Yes","0.2629698,0.1406588"
"Zm00001eb303780",0.2548563,1,"No","0.2548563"
"Zm00001eb327960",0.254955908639757,6,"Yes","0.2173975,0.2579071,0.2940101,0.8893756,0.3977627,0.0332003"
"Zm00001eb172070",0.255031256651122,4,"Yes","0.04618931,0.4307572,0.2364553,0.8589432"
"Zm00001eb373810",0.25539585811462,2,"Yes","0.137473,0.9440119"
"Zm00001eb322280",0.255563784924376,2,"Yes","0.137262,0.8619302"
"Zm00001eb032540",0.256037001394026,3,"Yes","0.7614734,0.1961441,0.2164837"
"Zm00001eb279020",0.256156361377295,3,"Yes","0.08351274,0.337562,0.2039485"
"Zm00001eb070310",0.256371091599314,6,"Yes","0.334213,0.09137681,0.07775214,0.9838953,0.3086023,0.8555378"
"Zm00001eb278240",0.256489479944024,2,"Yes","0.8130068,0.1389008"
"Zm00001eb241300",0.2571257,1,"No","0.2571257"
"Zm00001eb394440",0.2572112,1,"No","0.2572112"
"Zm00001eb203670",0.257607531719471,2,"Yes","0.1384296,0.2431323"
"Zm00001eb304860",0.258433095852371,3,"Yes","0.1782613,0.2256118,0.4895337"
"Zm00001eb242510",0.259038302408961,3,"Yes","0.07189612,0.8201009,0.992873"
"Zm00001eb069550",0.259104666424799,5,"Yes","0.8367255,0.02863907,0.1864724,0.9706081,0.4892075"
"Zm00001eb254000",0.259143126345142,18,"Yes","0.9617314,0.3788038,0.7035666,0.1277339,0.5093865,0.6113523,0.1945554,0.9297563,0.05127109,0.954489,0.7901754,0.07664432,0.08100065,0.4389014,0.06187551,0.8699067,0.9147109,0.1485927"
"Zm00001eb282310",0.259919696770486,2,"Yes","0.6193596,0.1399049"
"Zm00001eb030660",0.260321629720501,7,"Yes","0.3340155,0.7050971,0.01896287,0.8410231,0.3288295,0.5258891,0.2932078"
"Zm00001eb199990",0.2613673,1,"No","0.2613673"
"Zm00001eb001110",0.261694169860264,8,"Yes","0.088792,0.6870602,0.1438396,0.4381565,0.3982324,0.3699738,0.6754567,0.04216818"
"Zm00001eb090130",0.2619074,1,"No","0.2619074"
"Zm00001eb193730",0.262855711936566,2,"Yes","0.791465,0.1427373"
"Zm00001eb046650",0.263023190934428,2,"Yes","0.4188454,0.1733798"
"Zm00001eb283430",0.263091366565843,3,"Yes","0.9231714,0.1569921,0.2250301"
"Zm00001eb211420",0.263678333825038,4,"Yes","0.04887724,0.40584,0.3631799,0.7297745"
"Zm00001eb407990",0.2636954,1,"No","0.2636954"
"Zm00001eb252370",0.264371,1,"No","0.264371"
"Zm00001eb092200",0.264546252100889,7,"Yes","0.2355628,0.2223199,0.112658,0.3780444,0.427509,0.1167486,0.9019088"
"Zm00001eb226550",0.2647539,1,"No","0.2647539"
"Zm00001eb272510",0.264826832293827,2,"Yes","0.167631,0.2088464"
"Zm00001eb067610",0.265232027734093,2,"Yes","0.1428381,0.6284071"
"Zm00001eb384810",0.2654015,1,"No","0.2654015"
"Zm00001eb138050",0.265426036884009,3,"Yes","0.2225434,0.2555174,0.8751153"
"Zm00001eb400470",0.266261191577976,3,"Yes","0.2489002,0.9628028,0.06482923"
"Zm00001eb413530",0.26627042257791,2,"Yes","0.6663744,0.1461878"
"Zm00001eb041680",0.266397183797464,3,"Yes","0.6176445,0.232016,0.2089765"
"Zm00001eb418760",0.266541199149813,3,"Yes","0.6054277,0.4235256,0.05876759"
"Zm00001eb195390",0.266595,1,"No","0.266595"
"Zm00001eb388610",0.26702482801724,4,"Yes","0.1099429,0.53376,0.1645334,0.175567"
"Zm00001eb228060",0.2672878,1,"No","0.2672878"
"Zm00001eb119000",0.267620341441765,5,"Yes","0.272012,0.5051709,0.3971784,0.2589572,0.07606535"
"Zm00001eb397430",0.267731653410333,7,"Yes","0.8957665,0.146187,0.528377,0.5954069,0.07151357,0.7162134,0.1693329"
"Zm00001eb354270",0.268190587971354,3,"Yes","0.2327361,0.2707043,0.2337325"
"Zm00001eb351750",0.268471985086234,2,"Yes","0.1486229,0.6285131"
"Zm00001eb204880",0.269121732032766,6,"Yes","0.2019575,0.0263259,0.4452078,0.4124384,0.395924,0.7522604"
"Zm00001eb238520",0.270089312913322,2,"Yes","0.6399005,0.1483467"
"Zm00001eb210500",0.2705947,1,"No","0.2705947"
"Zm00001eb325100",0.2706125,1,"No","0.2706125"
"Zm00001eb426600",0.270688532442773,3,"Yes","0.6411672,0.05907145,0.9508369"
"Zm00001eb391400",0.27093142175454,4,"Yes","0.4302492,0.1772936,0.1544776,0.1657469"
"Zm00001eb002610",0.271870481064971,4,"Yes","0.143341,0.1670093,0.1670093,0.219206"
"Zm00001eb305960",0.2726605,1,"No","0.2726605"
"Zm00001eb352460",0.273528295311068,3,"Yes","0.2516199,0.7024674,0.0913473"
"Zm00001eb211770",0.273854139721762,2,"Yes","0.2514278,0.1486279"
"Zm00001eb392970",0.2741022,1,"No","0.2741022"
"Zm00001eb394200",0.274123125285415,3,"Yes","0.3784903,0.4370337,0.06747815"
"Zm00001eb250580",0.274276,1,"No","0.274276"
"Zm00001eb081120",0.274681759792909,7,"Yes","0.4425483,0.1627731,0.06224689,0.7878914,0.2563632,0.8552649,0.2498894"
"Zm00001eb306980",0.2747881,1,"No","0.2747881"
"Zm00001eb168760",0.2755307,1,"No","0.2755307"
"Zm00001eb290700",0.27555138853656,3,"Yes","0.1293507,0.9876397,0.2637715"
"Zm00001eb366300",0.2755899,1,"No","0.2755899"
"Zm00001eb188900",0.275707807081246,4,"Yes","0.8691949,0.9491736,0.1889974,0.1168945"
"Zm00001eb285990",0.2767571,1,"No","0.2767571"
"Zm00001eb211660",0.277075948718706,3,"Yes","0.2676082,0.3402613,0.1900922"
"Zm00001eb215790",0.277338148120773,6,"Yes","0.3909243,0.1524671,0.173535,0.4047737,0.2270413,0.8180249"
"Zm00001eb127540",0.277528700879642,2,"Yes","0.6599826,0.1906711"
"Zm00001eb214110",0.2779731,1,"No","0.2779731"
"Zm00001eb202810",0.278641057644417,2,"Yes","0.1586221,0.5354255"
"Zm00001eb070820",0.279506789702439,3,"Yes","0.06207686,0.7666758,0.9128547"
"Zm00001eb394070",0.2796092,1,"No","0.2796092"
"Zm00001eb159160",0.280097088555373,5,"Yes","0.5745531,0.989127,0.7243055,0.03392252,0.8166702"
"Zm00001eb278150",0.280155464038319,2,"Yes","0.3782454,0.1531464"
"Zm00001eb395810",0.28055966032671,12,"Yes","0.6067202,0.8046508,0.134159,0.2217906,0.7342097,0.09814393,0.3798737,0.3599832,0.109099,0.451984,0.03254665,0.4775982"
"Zm00001eb411050",0.2808953,1,"No","0.2808953"
"Zm00001eb241900",0.28126604432466,8,"Yes","0.6437144,0.2561703,0.2434681,0.2767862,0.3369275,0.229503,0.2835276,0.02688643"
"Zm00001eb247040",0.2818114,1,"No","0.2818114"
"Zm00001eb099380",0.28232981725387,2,"Yes","0.2619505,0.1529239"
"Zm00001eb251860",0.283209430580406,2,"Yes","0.1726363,0.3992435"
"Zm00001eb217180",0.283598617191603,7,"Yes","0.6753025,0.7934174,0.7833287,0.02337168,0.3570323,0.6118829,0.9172392"
"Zm00001eb168750",0.284201291983959,3,"Yes","0.4246751,0.1098531,0.2676431"
"Zm00001eb014500",0.2843061,1,"No","0.2843061"
"Zm00001eb043240",0.2849792,1,"No","0.2849792"
"Zm00001eb271240",0.285020521614367,3,"Yes","0.5697488,0.2383848,0.2754397"
"Zm00001eb053420",0.285238373870563,5,"Yes","0.25963,0.1778652,0.8564975,0.2298918,0.4546226"
"Zm00001eb041730",0.286026441963882,2,"Yes","0.7189381,0.1550912"
"Zm00001eb214560",0.286200896824702,7,"Yes","0.5990844,0.8392515,0.02175257,0.3971302,0.8518934,0.7666799,0.875427"
"Zm00001eb243810",0.2866314,1,"No","0.2866314"
"Zm00001eb231610",0.2866977,1,"No","0.2866977"
"Zm00001eb320130",0.287271145081854,2,"Yes","0.3427917,0.1562677"
"Zm00001eb393840",0.287272952988143,4,"Yes","0.6268643,0.3030784,0.2001644,0.08172423"
"Zm00001eb212420",0.287869107820419,3,"Yes","0.8505306,0.0642695,0.9009995"
"Zm00001eb009100",0.288091098115624,7,"Yes","0.7042972,0.07098178,0.3524357,0.07979962,0.2443014,0.742005,0.2690104"
"Zm00001eb099240",0.288293507559036,3,"Yes","0.7750283,0.1503172,0.269494"
"Zm00001eb028360",0.288520325085338,2,"Yes","0.2255444,0.2680182"
"Zm00001eb176890",0.288828126934003,2,"Yes","0.7628196,0.1696792"
"Zm00001eb223840",0.28914840887844,3,"Yes","0.2208089,0.1976644,0.3418846"
"Zm00001eb167750",0.289303084344906,2,"Yes","0.5020804,0.1585131"
"Zm00001eb200710",0.2894879,1,"No","0.2894879"
"Zm00001eb386750",0.2900132,1,"No","0.2900132"
"Zm00001eb177390",0.290199166473571,2,"Yes","0.157631,0.5081802"
"Zm00001eb140940",0.290895307252039,5,"Yes","0.1861636,0.3932723,0.333679,0.1740195,0.2321877"
"Zm00001eb231990",0.291286663987108,8,"Yes","0.3886268,0.9847058,0.521994,0.4456903,0.01889438,0.503101,0.5450666,0.5771884"
"Zm00001eb344440",0.291728519452554,33,"Yes","0.2868137,0.09098677,0.360449,0.5982167,0.4320727,0.1683189,0.4376289,0.4027076,0.2681824,0.003420357,0.4449016,0.2532867,0.2200534,0.1674132,0.6706901,0.2244054,0.217344,0.3942853,0.5377631,0.1664788,0.1949421,0.3892945,0.3892945,0.3892945,0.7750216,0.4577839,0.3449915,0.9712076,0.3372205,0.2405704,0.7646489,0.5053263,0.8655622"
"Zm00001eb165880",0.291812986825668,2,"Yes","0.5951839,0.1584591"
"Zm00001eb191020",0.292166739665658,3,"Yes","0.3764102,0.2799579,0.2213361"
"Zm00001eb022840",0.292477507852929,3,"Yes","0.7969334,0.09548737,0.3528316"
"Zm00001eb341370",0.2925278,1,"No","0.2925278"
"Zm00001eb108030",0.292541,1,"No","0.292541"
"Zm00001eb336280",0.294256922854019,2,"Yes","0.9177349,0.1603182"
"Zm00001eb010500",0.295628589397988,5,"Yes","0.4787088,0.03327851,0.5269693,0.7159976,0.8940862"
"Zm00001eb422410",0.2956414,1,"No","0.2956414"
"Zm00001eb191380",0.296204988394822,2,"Yes","0.2825229,0.1610675"
"Zm00001eb042940",0.296254561672354,5,"Yes","0.2160419,0.2684388,0.1733247,0.4068547,0.8623342"
"Zm00001eb217090",0.296492,1,"No","0.296492"
"Zm00001eb273580",0.2967107,1,"No","0.2967107"
"Zm00001eb214360",0.296993285251435,3,"Yes","0.2470562,0.9122078,0.2446296"
"Zm00001eb203870",0.2973311,1,"No","0.2973311"
"Zm00001eb213700",0.297670648981727,3,"Yes","0.1301113,0.2812612,0.2292676"
"Zm00001eb326040",0.2976926,1,"No","0.2976926"
"Zm00001eb390930",0.298442318518805,3,"Yes","0.2573095,0.6368692,0.2840653"
"Zm00001eb432810",0.298674473686055,2,"Yes","0.1714846,0.59481"
"Zm00001eb154950",0.29882668361229,2,"Yes","0.1632015,0.5974901"
"Zm00001eb424380",0.298865509459411,2,"Yes","0.1632159,0.4324446"
"Zm00001eb261980",0.2992667,1,"No","0.2992667"
"Zm00001eb050410",0.2996776,1,"No","0.2996776"
"Zm00001eb325320",0.2997194,1,"No","0.2997194"
"Zm00001eb254480",0.300019385012758,2,"Yes","0.4163952,0.1635076"
"Zm00001eb252680",0.300103053176335,5,"Yes","0.9010341,0.9013653,0.1676819,0.9596789,0.03572122"
"Zm00001eb047020",0.300292941406892,2,"Yes","0.4471917,0.4867098"
"Zm00001eb156780",0.300727237538829,10,"Yes","0.9071849,0.5084794,0.4510451,0.2627502,0.8552353,0.7300964,0.7327186,0.9063674,0.09191876,0.01717835"
"Zm00001eb376360",0.3008975,1,"No","0.3008975"
"Zm00001eb067110",0.3013571,1,"No","0.3013571"
"Zm00001eb035390",0.3015572,1,"No","0.3015572"
"Zm00001eb212910",0.301710094075972,2,"Yes","0.5124915,0.4941672"
"Zm00001eb041870",0.301933108325846,2,"Yes","0.5140192,0.4925895"
"Zm00001eb006570",0.302458124979558,2,"Yes","0.1648115,0.6043619"
"Zm00001eb048490",0.30280511550064,4,"Yes","0.2067232,0.8774185,0.1781288,0.4551568"
"Zm00001eb007580",0.303265876634882,4,"Yes","0.1875169,0.7553291,0.2086765,0.4240893"
"Zm00001eb245910",0.3033421,1,"No","0.3033421"
"Zm00001eb057300",0.304337220218585,4,"Yes","0.3862814,0.1646468,0.2020633,0.6410973"
"Zm00001eb395600",0.304405,1,"No","0.304405"
"Zm00001eb272870",0.304468587976583,2,"Yes","0.8288889,0.1678994"
"Zm00001eb165200",0.304528207898445,4,"Yes","0.4686773,0.2065619,0.6281296,0.1366938"
"Zm00001eb140970",0.304585517775782,2,"Yes","0.9934802,0.1686888"
"Zm00001eb057440",0.304608699567134,2,"Yes","0.2195376,0.4871704"
"Zm00001eb211960",0.30462606088964,9,"Yes","0.9970605,0.07216351,0.197225,0.09796943,0.72274,0.2181964,0.9773262,0.2756761,0.3114011"
"Zm00001eb290800",0.304896498777375,44,"Yes","0.5136954,0.5150453,0.6501034,0.1667909,0.9107429,0.8480837,0.4118587,0.062293,0.4594535,0.05695533,0.9812589,0.9523396,0.1647187,0.5328835,0.3322849,0.1209338,0.2816633,0.6186084,0.2350809,0.5339484,0.003547363,0.3146574,0.9257798,0.07444422,0.1662128,0.4525923,0.04267064,0.1152769,0.1908566,0.9208129,0.9776723,0.6373983,0.4436858,0.7034933,0.7014248,0.2015281,0.5934352,0.4016513,0.5982621,0.363265,0.1593455,0.5610178,0.299148,0.06767266"
"Zm00001eb108340",0.30554112469694,2,"Yes","0.8599486,0.1788413"
"Zm00001eb200620",0.305778998421613,2,"Yes","0.1696936,0.7220461"
"Zm00001eb325950",0.305895376325844,3,"Yes","0.6009162,0.1265203,0.2713161"
"Zm00001eb015030",0.306126073220104,4,"Yes","0.2741342,0.0558532,0.5826281,0.8172294"
"Zm00001eb354420",0.306414115996309,2,"Yes","0.627106,0.1671994"
"Zm00001eb087920",0.3065941,1,"No","0.3065941"
"Zm00001eb253000",0.306674792432214,5,"Yes","0.0426765,0.2732991,0.5901563,0.757566,0.1609235"
"Zm00001eb131710",0.306893546299886,2,"Yes","0.1679643,0.8047967"
"Zm00001eb107660",0.306922433119128,2,"Yes","0.5854784,0.1676884"
"Zm00001eb321330",0.30692515238924,6,"Yes","0.05209419,0.6507425,0.1296292,0.3730597,0.224756,0.4236743"
"Zm00001eb321500",0.307428568619287,2,"Yes","0.5412782,0.1678416"
"Zm00001eb390800",0.3074357,1,"No","0.3074357"
"Zm00001eb430290",0.308042591182486,3,"Yes","0.8995102,0.2753553,0.07530641"
"Zm00001eb336730",0.308272202362519,2,"Yes","0.9805968,0.1721864"
"Zm00001eb335740",0.308326920515089,2,"Yes","0.1683747,0.645916"
"Zm00001eb431670",0.308686677497557,2,"Yes","0.1713802,0.2648393"
"Zm00001eb396430",0.308730871695773,2,"Yes","0.1695374,0.3645655"
"Zm00001eb203310",0.3087422,1,"No","0.3087422"
"Zm00001eb019240",0.3087538,1,"No","0.3087538"
"Zm00001eb421000",0.3087636,1,"No","0.3087636"
"Zm00001eb322710",0.309021573590295,3,"Yes","0.8164493,0.1945153,0.2859023"
"Zm00001eb424850",0.30908919337157,2,"Yes","0.1692269,0.6230824"
"Zm00001eb185800",0.3094439,1,"No","0.3094439"
"Zm00001eb033290",0.3098082,1,"No","0.3098082"
"Zm00001eb214850",0.31034961204041,6,"Yes","0.2408875,0.4398247,0.8323272,0.1838083,0.5265439,0.1323594"
"Zm00001eb123730",0.3104168,1,"No","0.3104168"
"Zm00001eb316510",0.31061540790022,5,"Yes","0.3092261,0.413699,0.4739022,0.03786911,0.4049428"
"Zm00001eb353990",0.310884265738561,2,"Yes","0.2142946,0.1932167"
